SERVICES,,SINGLE PRICE (Rs.), BASIC (Rs.),STANDARD (Rs.),PREMIUM (Rs.)
,,,,,
Private Limited Company,,,9999,14999,24999
Public Limited Company,,,14999,24999,30999
One Person Company,,,9999,14999,24999
Nidhi Company,,34999,,,
Section 8 Company (NPO),,,14999,24999,30999
Producer Company,,34999,,,
,,,,,
GST Registration,,,1999,2999,4999
LLP Registration,,,7999,9999,14999
Partnership Firm,,,7999,9999,14999
Solo Proprietorship,,999,,,
Digital Signature,,As for Request,,,
Gumasta ,,999,,,
EPFO Registration,,2499,,,
ESIC Registration,,2499,,,
FSSAI (Food Licence),,As for Request,,,
IEC Registration,,1499,,,
Industry Licence,,As for Request,,,
MSME/ Udhyam Regestration,,999,,,
,,,,,
Project Reports,,As for Request,,,
CMA Reports,,As for Request,,,
DSCR Reports,,As for Request,,,
Bank Reconciliation,,As for Request,,,
,,,,,
GST Filing,,1499/per month,,,
Income Tax,,1499,,,
TDS Returns,,2499,,,
Tax Planning,,As for Request,,,
Corporate Tax,,As for Request,,,
Payroll Tax,,,,,
EPFO Filing,,2499,,,
ESIC Filing,,2499,,,
PT-Tax Filing,,2499,,,
,,,,,
Trademark Registration,,12999,,,
ISO 9001 Certification,,As for Request,,,
ISO 14001 Certification,,As for Request,,,
Copyright Registration,,As for Request,,,
,,,,,
Annual Filing (AOC-4 & MGT-7),,,9999,14999,As for Request
Board Meating & Resolutiions,,1999/ per resolution,,,
Director Appointment/ Resignation,,4999,,,
Share Transfer & Capital Changes,,6999,,,
,,,,,
Business Strategy Consulting,,As for Request,,,
Legal & Compliance Advisory,,As for Request,,,
HR & Organizational Development,,As for Request,,,
Financial Planning & Analysis,,As for Request,,,
Digital Transformation,,As for Request,,,
Startup Mentoring,,As for Request,,,
Tax Plan Analysis,,As for Request,,,
Assistance for Fund Raising,,As for Request,,,
Other Finance Related Services,,As for Request,,,
